Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
113,RAINIO Onni *,3,40.291,"['0:48.524', '4:18.437', '5:34.377', '6:09.928', '6:38.525', '6:16.915', '6:16.915', '6:16.915', '6:16.915']",0:48.524,4:18.437,5:34.377,6:09.928,6:38.525,48.524,258.437,334.377,369.928,398.525,"[48.524, 209.913, 75.94, 35.55099999999999, 28.59699999999998, -21.609999999999957, 0.0, 0.0, 0.0]",48.524,209.913,75.94,35.55099999999999,28.59699999999998,34,163,153,154,156,34,170,221,287,272,301,350.001,140.08799999999997,64.14799999999997,28.59699999999998,160,208,270,272
61,PINKERTON Ryan Ryan *,1,42.934,"['0:49.583', '9:57.190', '10:35.106', '11:08.353', '11:32.954']",0:49.583,9:57.190,10:35.106,11:08.353,11:32.954,49.583,597.19,635.106,668.353,692.954,"[49.583, 547.6070000000001, 37.91599999999994, 33.24699999999996, 24.601]",49.583,547.6070000000001,37.91599999999994,33.24699999999996,24.601,86,302,238,236,231,86,305,90,176,38,169,643.371,95.7639999999999,57.847999999999956,24.601,234,65,71,38
61,PINKERTON Ryan Ryan *,2,43.373,"['0:50.329', '4:44.339', '5:21.299', '5:54.319', '6:19.947']",0:50.329,4:44.339,5:21.299,5:54.319,6:19.947,50.329,284.339,321.299,354.319,379.947,"[50.329, 234.01, 36.95999999999998, 33.02000000000004, 25.627999999999986]",50.329,234.01,36.95999999999998,33.02000000000004,25.627999999999986,153,184,147,146,143,153,189,55,156,83,126,329.618,95.608,58.648000000000025,25.627999999999986,147,62,109,83
61,PINKERTON Ryan Ryan *,3,27.211,"['0:49.948', '9:59.784', '6:19.947', '6:19.947', '6:19.947', '6:19.947']",0:49.948,9:59.784,6:19.947,6:19.947,6:19.947,49.948,599.784,379.947,379.947,379.947,"[49.948, 549.836, -219.837, 0.0, 0.0, 0.0]",49.948,549.836,-219.837,0.0,0.0,121,304,183,160,143,121,306,1,2,9,331,329.999,-219.837,0.0,0.0,148,8,10,9
108,ISCLA GRANDVALLET Alex,1,43.478,"['0:53.534', '6:19.814', '6:58.313', '7:32.368', '7:58.992']",0:53.534,6:19.814,6:58.313,7:32.368,7:58.992,53.534,379.814,418.313,452.368,478.992,"[53.534, 326.28000000000003, 38.49899999999997, 34.05500000000001, 26.624000000000024]",53.534,326.28000000000003,38.49899999999997,34.05500000000001,26.624000000000024,283,246,192,191,186,283,251,118,249,178,118,425.458,99.178,60.67900000000003,26.624000000000024,185,133,203,178
108,ISCLA GRANDVALLET Alex,2,25.632,"['0:51.854', '2:55.621', '3:35.096', '6:21.205', '6:21.205', '6:21.205', '6:21.205', '6:21.205']",0:51.854,2:55.621,3:35.096,6:21.205,6:21.205,51.854,175.621,215.096,381.205,381.205,"[51.854, 123.76700000000001, 39.474999999999994, 166.10899999999998, 0.0, 0.0, 0.0, 0.0]",51.854,123.76700000000001,39.474999999999994,166.10899999999998,0.0,236,94,78,162,146,236,104,162,331,9,336,329.351,205.58399999999997,166.10899999999998,0.0,146,224,317,9
108,ISCLA GRANDVALLET Alex,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,343,343,342,341,327,343,343,342,341,327,343,,,,,327,327,327,327
25,PIERRON Baptiste,1,42.105,"['0:51.472', '5:00.649', '11:00.075', '11:33.963', '12:01.044']",0:51.472,5:00.649,11:00.075,11:33.963,12:01.044,51.472,300.649,660.075,693.963,721.044,"[51.472, 249.177, 359.42600000000004, 33.88799999999992, 27.081000000000017]",51.472,249.177,359.42600000000004,33.88799999999992,27.081000000000017,218,197,241,239,234,218,204,280,235,210,243,669.572,420.395,60.96899999999994,27.081000000000017,237,266,212,210
25,PIERRON Baptiste,2,42.553,"['0:50.787', '6:07.724', '6:47.316', '7:21.456', '8:03.804']",0:50.787,6:07.724,6:47.316,7:21.456,8:03.804,50.787,367.724,407.31600000000003,441.456,483.804,"[50.787, 316.937, 39.59200000000004, 34.139999999999986, 42.347999999999956]",50.787,316.937,39.59200000000004,34.139999999999986,42.347999999999956,175,242,189,187,189,175,247,168,253,310,203,433.017,116.07999999999998,76.48799999999994,42.347999999999956,192,196,294,310
25,PIERRON Baptiste,3,41.499,"['0:50.516', '4:52.585', '5:32.255', '6:05.877', '6:32.267', '6:32.267', '6:32.267', '6:32.267', '6:32.267']",0:50.516,4:52.585,5:32.255,6:05.877,6:32.267,50.516,292.585,332.255,365.877,392.267,"[50.516, 242.069, 39.670000000000016, 33.622000000000014, 26.389999999999986, 0.0, 0.0, 0.0, 0.0]",50.516,242.069,39.670000000000016,33.622000000000014,26.389999999999986,167,190,151,152,149,167,196,171,218,153,264,341.751,99.68200000000002,60.012,26.389999999999986,153,140,183,153
