rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
16,,35,STEVENS-MCNAB Lachlan *,UNION - FORGED BY STEEL CITY MEDIA,10110184506,NZL,2004,55.824,27,3:10.634,+5.488,44,0:33.700,27,00:33.700000,1:18.952,24,00:45.252000,1:56.813,15,00:37.861000,2:37.751,19,00:40.938000,27,24,4,36,00:32.883000,10
17,,40,HARTENSTERN Max,CUBE FACTORY RACING,10011213584,GER,1999,58.781,2,3:10.720,+5.574,43,0:33.889,38,00:33.889000,1:19.071,26,00:45.182000,1:56.554,9,00:37.483000,2:36.837,14,00:40.283000,38,21,2,22,00:33.883000,39
18,,39,HATTON Charlie,CONTINENTAL ATHERTON,10009897014,GBR,1998,55.670,29,3:10.969,+5.823,42,0:33.389,17,00:33.389000,1:18.257,15,00:44.868000,1:56.568,10,00:38.311000,2:37.220,15,00:40.652000,17,14,10,33,00:33.749000,31
19,,22,WILLIAMS Jordan *,SPECIALIZED GRAVITY,10083936306,GBR,2004,57.123,4,3:11.132,+5.986,41,0:33.999,44,00:33.999000,1:19.094,27,00:45.095000,1:57.166,16,00:38.072000,2:37.743,18,00:40.577000,44,17,7,30,00:33.389000,22
20,,45,A'HERN Kye,KENDA NS BIKES UR TEAM,10043853983,AUS,2001,56.466,11,3:11.309,+6.163,40,0:33.663,24,00:33.663000,1:19.128,28,00:45.465000,1:57.319,21,00:38.191000,2:37.795,21,00:40.476000,24,29,8,27,00:33.514000,27
21,,66,BREEDEN Joe,INTENSE FACTORY RACING,10011005743,GBR,1999,55.441,34,3:11.507,+6.361,39,0:33.140,8,00:33.140000,1:18.689,20,00:45.549000,1:57.585,24,00:38.896000,2:37.684,17,00:40.099000,8,35,33,18,00:33.823000,35
22,,55,PINKERTON Kenneth Ryan *,MONDRAKER FACTORY RACING,10063826182,USA,2005,55.479,33,3:11.622,+6.476,38,0:33.672,25,00:33.672000,1:19.168,30,00:45.496000,1:58.408,35,00:39.240000,2:38.157,24,00:39.749000,25,31,46,11,00:33.465000,25
23,,29,KUHN Bodhi *,TREK FACTORY RACING GRAVITY,10080855241,CAN,2005,56.426,16,3:11.823,+6.677,37,0:33.739,29,00:33.739000,1:18.865,22,00:45.126000,1:58.120,29,00:39.255000,2:38.499,27,00:40.379000,29,19,47,26,00:33.324000,19
24,,50,DAVIS Oliver *,SANTA CRUZ SYNDICATE,10110838143,AUS,2004,54.344,52,3:12.236,+7.090,36,0:33.292,13,00:33.292000,1:18.501,19,00:45.209000,1:58.150,30,00:39.649000,2:38.267,25,00:40.117000,13,22,56,19,00:33.969000,40
25,,27,MEIER-SMITH Remy *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212427,AUS,2004,56.133,20,3:12.244,+7.098,35,0:33.440,19,00:33.440000,1:18.469,17,00:45.029000,1:57.180,18,00:38.711000,2:38.269,26,00:41.089000,19,16,24,39,00:33.975000,41
26,,74,REVELLI Loris,N/A,10009443942,ITA,1997,54.545,48,3:12.298,+7.152,34,0:33.650,23,00:33.650000,1:19.167,29,00:45.517000,1:58.665,39,00:39.498000,2:39.199,32,00:40.534000,23,33,52,29,00:33.099000,14
27,,88,PIERRON Antoine,COMMENCAL ICSTUDIO,10011102844,FRA,1999,56.564,8,3:12.588,+7.442,33,0:33.959,42,00:33.959000,1:19.499,36,00:45.540000,1:58.231,31,00:38.732000,2:38.571,28,00:40.340000,42,34,26,25,00:34.017000,42
28,,42,WILSON Reece,TREK FACTORY RACING GRAVITY,10009563271,GBR,1996,56.466,11,3:12.641,+7.495,32,0:34.023,46,00:34.023000,1:20.262,49,00:46.239000,1:58.843,41,00:38.581000,2:39.373,34,00:40.530000,46,54,18,28,00:33.268000,16
29,,44,JEWETT Jakob *,PIVOT FACTORY RACING,10061612663,CAN,2003,54.785,45,3:12.733,+7.587,31,0:33.833,35,00:33.833000,1:19.503,37,00:45.670000,1:58.991,43,00:39.488000,2:39.721,37,00:40.730000,35,40,51,35,00:33.012000,11
30,,20,WILLIAMSON Greg,MADISON SARACEN FACTORY TEAM,10006909111,GBR,1992,55.385,35,3:12.765,+7.619,30,0:34.823,56,00:34.823000,1:20.203,46,00:45.380000,1:58.231,31,00:38.028000,2:39.941,39,00:41.710000,56,28,6,50,00:32.824000,7
31,,71,VIDAL Antoine,COMMENCAL LES ORRES,10070590924,FRA,2001,58.378,3,3:12.849,+7.703,29,0:33.756,33,00:33.756000,1:19.495,35,00:45.739000,1:57.206,19,00:37.711000,2:38.821,29,00:41.615000,33,42,3,46,00:34.028000,44
