Number,Name,Run,Speed,Splits,Orig_Split_1_Time,Orig_Split_2_Time,Orig_Split_3_Time,Orig_Split_4_Time,Orig_Split_5_Time,Clean_Split_1_Time,Clean_Split_2_Time,Clean_Split_3_Time,Clean_Split_4_Time,Clean_Split_5_Time,Sector_Times,Sector_1_Time,Sector_2_Time,Sector_3_Time,Sector_4_Time,Sector_5_Time,Split_1_Rank,Split_2_Rank,Split_3_Rank,Split_4_Rank,Split_5_Rank,Sector_1_Rank,Sector_2_Rank,Sector_3_Rank,Sector_4_Rank,Sector_5_Rank,Speed_Rank,Cumulative_from_Split_1_Time,Cumulative_from_Split_2_Time,Cumulative_from_Split_3_Time,Cumulative_from_Split_4_Time,Cumulative_from_Split_1_Rank,Cumulative_from_Split_2_Rank,Cumulative_from_Split_3_Rank,Cumulative_from_Split_4_Rank
90,VIEIRA Roger,1,51.465,"['0:35.761', '1:26.128', '6:11.827', '6:51.550']",0:35.761,1:26.128,6:11.827,6:51.550,,35.761,86.128,371.827,411.55,,"[35.761, 50.367, 285.699, 39.72300000000001, None]",35.761,50.367,285.699,39.72300000000001,,158,67,198,162,317,158,62,297,107,317,227,,,,,317,317,317,317
90,VIEIRA Roger,2,51.799,"['0:35.385', '1:24.653', '5:55.368', '6:33.999', '7:08.004']",0:35.385,1:24.653,5:55.368,6:33.999,7:08.004,35.385,84.65299999999999,355.368,393.999,428.004,"[35.385, 49.267999999999994, 270.71500000000003, 38.63100000000003, 34.004999999999995]",35.385,49.267999999999994,270.71500000000003,38.63100000000003,34.004999999999995,119,36,185,152,143,119,40,280,72,96,192,392.619,343.351,72.63600000000002,34.004999999999995,148,203,61,96
90,VIEIRA Roger,3,53.812,"['0:34.593', '1:22.843', '7:41.050', '8:19.297', '8:52.921', '7:08.004', '7:08.004', '7:08.004', '7:08.004']",0:34.593,1:22.843,7:41.050,8:19.297,8:52.921,34.593,82.843,461.05,499.297,532.921,"[34.593, 48.25, 378.207, 38.247000000000014, 33.624000000000024, -104.91700000000003, 0.0, 0.0, 0.0]",34.593,48.25,378.207,38.247000000000014,33.624000000000024,55,15,254,215,201,55,17,335,61,67,46,498.32800000000003,450.07800000000003,71.87100000000004,33.624000000000024,208,255,44,67
26,DAPRELA Thibaut,1,51.209,"['0:34.474', '1:24.222', '5:59.879', '6:37.226', '7:10.731']",0:34.474,1:24.222,5:59.879,6:37.226,7:10.731,34.474,84.22200000000001,359.879,397.226,430.731,"[34.474, 49.74800000000001, 275.65700000000004, 37.34699999999998, 33.504999999999995]",34.474,49.74800000000001,275.65700000000004,37.34699999999998,33.504999999999995,42,30,187,154,146,42,47,287,34,54,243,396.257,346.509,70.85199999999998,33.504999999999995,154,207,25,54
26,DAPRELA Thibaut,2,55.004,"['0:56.037', '1:44.388', '20:18.153', '23:03.853', '23:36.350', '7:10.731', '7:10.731', '7:10.731', '7:10.731']",0:56.037,1:44.388,20:18.153,23:03.853,23:36.350,56.037,104.388,1218.153,1383.853,1416.35,"[56.037, 48.351000000000006, 1113.765, 165.70000000000005, 32.496999999999844, -985.6189999999999, 0.0, 0.0, 0.0]",56.037,48.351000000000006,1113.765,165.70000000000005,32.496999999999844,341,162,370,343,309,341,19,379,296,12,17,1360.3129999999999,1311.962,198.1969999999999,32.496999999999844,309,315,262,12
26,DAPRELA Thibaut,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
74,WALLACE Mark,1,52.326,"['0:35.469', '1:27.263', '6:57.655', '7:48.266', '8:23.165']",0:35.469,1:27.263,6:57.655,7:48.266,8:23.165,35.469,87.263,417.655,468.266,503.165,"[35.469, 51.794000000000004, 330.39199999999994, 50.61100000000005, 34.899]",35.469,51.794000000000004,330.39199999999994,50.61100000000005,34.899,128,84,230,199,184,128,106,315,204,175,153,467.696,415.90200000000004,85.51000000000005,34.899,191,242,187,175
74,WALLACE Mark,2,51.246,"['0:35.553', '1:27.301', '3:04.078', '4:16.900', '7:11.445', '7:11.445', '7:11.445', '7:11.445', '7:11.445']",0:35.553,1:27.301,3:04.078,4:16.900,7:11.445,35.553,87.301,184.078,256.9,431.445,"[35.553, 51.748000000000005, 96.777, 72.82199999999997, 174.54500000000002, 0.0, 0.0, 0.0, 0.0]",35.553,51.748000000000005,96.777,72.82199999999997,174.54500000000002,139,85,54,52,147,139,105,82,235,315,239,395.892,344.144,247.367,174.54500000000002,153,204,285,315
74,WALLACE Mark,3,0.0,[],,,,,,,,,,,"[None, None, None, None, None]",,,,,,389,388,380,354,317,389,388,380,354,317,389,,,,,317,317,317,317
130,FERREIRA MARTINS Carlos David,1,49.18,"['0:38.100', '2:37.831', '6:00.738', '7:09.688', '7:47.529']",0:38.100,2:37.831,6:00.738,7:09.688,7:47.529,38.1,157.83100000000002,360.738,429.688,467.529,"[38.1, 119.73100000000002, 202.90699999999998, 68.94999999999999, 37.84100000000001]",38.1,119.73100000000002,202.90699999999998,68.94999999999999,37.84100000000001,281,223,189,175,164,281,243,213,228,290,349,429.429,309.698,106.791,37.84100000000001,170,169,210,290
