rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
11,,31,MAPLES Dylan *,COMMENCAL/MUC-OFF BY RIDING,10114296696,USA,2003,52.326,12,3:47.445,+3.623,-,0:41.419,18,00:41.419000,1:44.002,17,01:02.583000,2:28.296,16,00:44.294000,3:23.510,11,00:55.214000,17,17,16,13,00:23.935000,40
12,,48,GREENLAND Laurie,SANTA CRUZ SYNDICATE,10009404738,GBR,1997,50.083,45,3:47.681,+3.859,-,0:41.388,16,00:41.388000,1:43.413,10,01:02.025000,2:27.908,11,00:44.495000,3:24.371,12,00:56.463000,15,7,21,31,00:23.310000,3
13,,63,RUDE JR Richard,YETI / FOX FACTORY RACE TEAM,10007546378,USA,1995,49.972,48,3:47.791,+3.969,-,0:41.390,17,00:41.390000,1:44.431,22,01:03.041000,2:29.428,24,00:44.997000,3:24.568,13,00:55.140000,16,23,29,11,00:23.223000,1
14,,35,MEIER-SMITH Luke *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212326,AUS,2002,49.669,58,3:48.572,+4.750,-,0:41.094,10,00:41.094000,1:43.388,9,01:02.294000,2:27.958,12,00:44.570000,3:24.988,16,00:57.030000,9,12,24,42,00:23.584000,14
15,p,22,O CALLAGHAN Oisin *,YT MOB,10017486353,IRL,2003,50.992,32,3:48.642,+4.820,-,0:42.241,44,00:42.241000,1:44.596,24,01:02.355000,2:28.922,19,00:44.326000,3:24.865,15,00:55.943000,43,14,18,22,00:23.777000,29
16,,67,MCDOWALL Kirk,N/A,10008617119,CAN,1990,52.509,8,3:48.652,+4.830,-,0:41.266,13,00:41.266000,1:44.827,27,01:03.561000,2:29.238,22,00:44.411000,3:25.147,18,00:55.909000,12,39,20,21,00:23.505000,12
17,,60,VIDAL Antoine,COMMENCAL LES ORRES,10070590924,FRA,2001,52.417,10,3:48.739,+4.917,-,0:42.059,34,00:42.059000,1:45.971,39,01:03.912000,2:30.331,31,00:44.360000,3:25.341,20,00:55.010000,33,45,19,7,00:23.398000,6
18,,46,SUAREZ ALONSO Angel,FRAMEWORKS RACING,10008831529,ESP,1995,49.180,69,3:48.753,+4.931,-,0:40.943,7,00:40.943000,1:43.800,14,01:02.857000,2:28.932,20,00:45.132000,3:24.798,14,00:55.866000,7,22,34,20,00:23.955000,41
19,,33,JEWETT Jakob *,PIVOT FACTORY RACING,10061612663,CAN,2003,53.004,2,3:48.787,+4.965,-,0:41.898,28,00:41.898000,1:44.613,25,01:02.715000,2:28.505,17,00:43.892000,3:25.338,19,00:56.833000,27,20,6,38,00:23.449000,9
20,,41,DAVIS Oliver *,SANTA CRUZ SYNDICATE,10110838143,AUS,2004,51.724,21,3:49.069,+5.247,-,0:42.581,60,00:42.581000,1:45.650,35,01:03.069000,2:29.432,25,00:43.782000,3:25.397,21,00:55.965000,59,24,5,23,00:23.672000,21
21,,34,ESTAQUE Thomas,COMMENCAL ICSTUDIO,10008848505,FRA,1996,52.113,15,3:49.169,+5.347,-,0:41.297,14,00:41.297000,1:44.390,20,01:03.093000,2:29.697,28,00:45.307000,3:25.086,17,00:55.389000,13,26,39,17,00:24.083000,53
22,,86,WOOLLEY Kasper,YT MOB,10084574987,CAN,1999,51.993,17,3:49.455,+5.633,-,0:42.574,58,00:42.574000,1:46.125,42,01:03.551000,2:30.665,33,00:44.540000,3:25.966,23,00:55.301000,57,38,22,16,00:23.489000,10
23,,30,WILSON Reece,TREK FACTORY RACING GRAVITY,10009563271,GBR,1996,49.861,50,3:49.504,+5.682,-,0:41.596,24,00:41.596000,1:44.840,28,01:03.244000,2:31.044,37,00:46.204000,3:26.110,24,00:55.066000,23,31,66,8,00:23.394000,5
24,,87,GWIN Aaron,GWIN RACING,10006516663,USA,1987,48.570,76,3:49.703,+5.881,-,0:40.868,6,00:40.868000,1:44.483,23,01:03.615000,2:29.455,26,00:44.972000,3:25.823,22,00:56.368000,6,40,27,28,00:23.880000,37
25,,43,HARTENSTERN Max,CUBE FACTORY RACING,10011213584,GER,1999,50.733,36,3:49.904,+6.082,-,0:42.064,36,00:42.064000,1:45.502,34,01:03.438000,2:30.832,35,00:45.330000,3:26.236,25,00:55.404000,35,35,41,18,00:23.668000,20
26,,98,THURLOW Luca *,TRIPLE FIVE RACING,10083936205,GBR,2005,49.724,55,3:51.435,+7.613,-,0:42.346,49,00:42.346000,1:46.114,41,01:03.768000,2:31.220,39,00:45.106000,3:27.477,26,00:56.257000,48,42,33,26,00:23.958000,42
27,,106,WALLACE Mark,WE ARE ONE MOMENTUM PROJECT,10008172636,CAN,1995,50.167,43,3:51.618,+7.796,-,0:42.060,35,00:42.060000,1:46.933,54,01:04.873000,2:32.026,45,00:45.093000,3:27.843,31,00:55.817000,34,63,32,19,00:23.775000,28
28,,51,PALAZZARI Davide,THE GRAVITY CARTEL - ROGUE RACING,10010022205,ITA,1995,50.083,45,3:51.624,+7.802,-,0:43.444,86,00:43.444000,1:46.777,50,01:03.333000,2:31.059,38,00:44.282000,3:27.746,30,00:56.687000,84,32,15,36,00:23.878000,36
29,,131,FRIXTALON Hugo,COMMENCAL ICSTUDIO,10016018118,FRA,1999,51.078,29,3:51.641,+7.819,-,0:42.238,43,00:42.238000,1:44.630,26,01:02.392000,2:30.255,29,00:45.625000,3:27.527,27,00:57.272000,42,15,47,48,00:24.114000,58
30,,69,FEARON Connor,FORBIDDEN SYNTHESIS TEAM,10007656314,AUS,1994,51.963,18,3:51.817,+7.995,-,0:41.968,30,00:41.968000,1:44.424,21,01:02.456000,2:29.461,27,00:45.037000,3:27.661,28,00:58.200000,29,16,31,65,00:24.156000,61
31,,50,CHAPELET Simon *,CUBE FACTORY RACING,10071553749,FRA,2002,50.251,41,3:51.857,+8.035,-,0:42.177,41,00:42.177000,1:45.371,32,01:03.194000,2:30.983,36,00:45.612000,3:28.035,33,00:57.052000,40,29,46,43,00:23.822000,32
32,,47,BREEDEN Joe,INTENSE FACTORY RACING,10011005743,GBR,1999,49.288,68,3:52.019,+8.197,-,0:41.422,19,00:41.422000,1:45.240,30,01:03.818000,2:30.258,30,00:45.018000,3:27.895,32,00:57.637000,18,43,30,50,00:24.124000,59
33,,77,REVELLI Loris,N/A,10009443942,ITA,1997,52.265,13,3:52.127,+8.305,-,0:41.997,32,00:41.997000,1:45.825,36,01:03.828000,2:31.557,42,00:45.732000,3:27.731,29,00:56.174000,31,44,48,25,00:24.396000,72
34,,53,SILVA Dante *,CANYON CLLCTV PIRELLI,10071893653,USA,2002,51.933,19,3:52.301,+8.479,-,0:42.540,57,00:42.540000,1:47.105,58,01:04.565000,2:32.093,47,00:44.988000,3:28.640,34,00:56.547000,56,53,28,34,00:23.661000,18
35,,101,BLENKINSOP Samuel,ZERODE RACING,10004485929,NZL,1988,49.696,56,3:52.492,+8.670,-,0:42.756,65,00:42.756000,1:47.610,63,01:04.854000,2:33.504,62,00:45.894000,3:28.773,36,00:55.269000,64,61,53,15,00:23.719000,24
36,,32,KUHN Bodhi *,TREK FACTORY RACING GRAVITY,10080855241,CAN,2005,52.817,4,3:53.101,+9.279,-,0:42.592,61,00:42.592000,1:47.045,57,01:04.453000,2:32.309,48,00:45.264000,3:29.436,39,00:57.127000,60,52,37,44,00:23.665000,19
37,,78,BANDEIRA Gonçalo *,SCOTT DOWNHILL FACTORY,10054661096,POR,2002,48.966,71,3:53.219,+9.397,-,0:42.655,62,00:42.655000,1:46.591,47,01:03.936000,2:32.553,50,00:45.962000,3:29.392,38,00:56.839000,61,46,56,39,00:23.827000,33
38,,95,FAYOLLE Alexandre,GASGAS FACTORY RACING,10008168996,FRA,1995,48.544,77,3:53.276,+9.454,-,0:42.124,39,00:42.124000,1:45.342,31,01:03.218000,2:31.574,43,00:46.232000,3:28.772,35,00:57.198000,38,30,68,47,00:24.504000,75
39,p,29,MINNAAR Greg,NORCO FACTORY RACING,10002818640,RSA,1981,49.889,49,3:53.458,+9.636,-,0:41.576,22,00:41.576000,1:46.708,48,01:05.132000,2:33.409,60,00:46.701000,3:29.851,43,00:56.442000,21,70,78,30,00:23.607000,15
40,,82,PIERRON Baptiste,DORVAL AM COMMENCAL,10008586504,FRA,1993,46.802,92,3:53.474,+9.652,-,0:42.290,47,00:42.290000,1:46.461,46,01:04.171000,2:32.489,49,00:46.028000,3:29.469,40,00:56.980000,46,48,58,41,00:24.005000,45
41,,52,KERR Henry,CANYON CLLCTV PIRELLI,10023914524,IRL,2000,50.167,43,3:53.567,+9.745,-,0:41.991,31,00:41.991000,1:47.276,60,01:05.285000,2:32.635,53,00:45.359000,3:29.583,42,00:56.948000,30,71,42,40,00:23.984000,43
42,,114,CONNELLY Jackson *,TEAM HIGH COUNTRY,10114106942,AUS,2004,50.992,32,3:53.755,+9.933,-,0:42.323,48,00:42.323000,1:45.951,37,01:03.628000,2:31.275,40,00:45.324000,3:29.243,37,00:57.968000,47,41,40,59,00:24.512000,76
43,,84,VIEIRA Roger,N/A,10009164258,BRA,1994,51.253,24,3:53.845,+10.023,-,0:43.279,79,00:43.279000,1:47.941,65,01:04.662000,2:33.096,58,00:45.155000,3:29.514,41,00:56.418000,77,56,35,29,00:24.331000,69
44,,93,WILLIAMSON Matthew Luke *,TRIPLE FIVE RACING,10061878809,GBR,2002,50.477,38,3:53.985,+10.163,-,0:42.574,58,00:42.574000,1:46.999,56,01:04.425000,2:33.241,59,00:46.242000,3:29.972,45,00:56.731000,57,51,70,37,00:24.013000,46
45,,59,PIERRON Antoine,COMMENCAL / SCHWALBE,10011102844,FRA,1999,52.662,5,3:53.989,+10.167,-,0:43.294,80,00:43.294000,1:46.776,49,01:03.482000,2:32.735,54,00:45.959000,3:29.880,44,00:57.145000,78,37,55,46,00:24.109000,57
46,,45,A'HERN Kye,KENDA NS BIKES UR TEAM,10043853983,AUS,2001,50.704,37,3:54.071,+10.249,-,0:42.451,53,00:42.451000,1:48.712,75,01:06.261000,2:34.456,67,00:45.744000,3:30.543,49,00:56.087000,52,82,49,24,00:23.528000,13
47,,44,DOOLEY Austin *,COMMENCAL / SCHWALBE,10087908151,USA,2002,49.396,64,3:54.298,+10.476,-,0:42.492,54,00:42.492000,1:45.971,39,01:03.479000,2:31.960,44,00:45.989000,3:30.073,46,00:58.113000,53,36,57,62,00:24.225000,63
48,,115,SHERLOCK Seth *,GWIN RACING,10050754929,CAN,2002,46.778,93,3:54.846,+11.024,-,0:41.948,29,00:41.948000,1:46.360,44,01:04.412000,2:32.600,51,00:46.240000,3:31.217,53,00:58.617000,28,50,69,72,00:23.629000,16
