rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
41,,32,ESTAQUE Thomas,GOODMAN SANTACRUZ,10008848505,FRA,1996,54.217,68,3:08.266,+5.785,-,0:32.072,37,00:32.072000,1:17.601,34,00:45.529000,1:56.217,38,00:38.616000,2:35.450,41,00:39.233000,37,32,64,50,00:32.816000,57
42,,5,HART Danny,NORCO RACE DIVISION,10005470073,GBR,1991,55.215,45,3:08.288,+5.807,-,0:31.366,9,00:31.366000,1:17.360,30,00:45.994000,1:56.368,42,00:39.008000,2:35.763,44,00:39.395000,9,45,84,57,00:32.525000,48
43,,30,NORTON Dakotah,MONDRAKER FACTORY RACING DH,10010038167,USA,1992,54.878,53,3:08.320,+5.839,-,0:32.081,38,00:32.081000,1:17.941,41,00:45.860000,1:57.132,50,00:39.191000,2:35.582,43,00:38.450000,38,41,88,30,00:32.738000,55
44,,61,JEWETT Dane *,GIANT FACTORY OFF-ROAD TEAM - DH,10094193347,CAN,2006,53.412,91,3:08.343,+5.862,-,0:32.318,46,00:32.318000,1:18.621,48,00:46.303000,1:57.228,51,00:38.607000,2:36.079,47,00:38.851000,46,52,63,39,00:32.264000,38
45,,35,WAYMAN Luke *,CONTINENTAL ATHERTON,10122961426,NZL,2006,54.753,54,3:08.541,+6.060,-,0:32.435,48,00:32.435000,1:18.576,46,00:46.141000,1:57.036,48,00:38.460000,2:36.728,52,00:39.692000,48,49,58,59,00:31.813000,15
46,,16,RUDE JR Richard,YETI / FOX FACTORY RACE TEAM,10007546378,USA,1995,57.143,5,3:08.555,+6.074,-,0:32.830,58,00:32.830000,1:19.233,56,00:46.403000,1:56.944,47,00:37.711000,2:36.258,49,00:39.314000,58,57,24,54,00:32.297000,39
47,,42,REVELLI Loris,N/A,10009443942,ITA,1997,54.095,72,3:08.631,+6.150,-,0:32.523,51,00:32.523000,1:18.590,47,00:46.067000,1:57.410,52,00:38.820000,2:36.155,48,00:38.745000,51,48,75,35,00:32.476000,46
48,,52,FALQUET Mylann *,GOODMAN SANTACRUZ,10056597258,FRA,2006,55.130,48,3:08.738,+6.257,-,0:31.896,31,00:31.896000,1:17.602,35,00:45.706000,1:55.983,35,00:38.381000,2:35.875,45,00:39.892000,31,37,53,63,00:32.863000,58
49,,94,TOMLINSON Gavin *,GWIN RACING,10130533688,USA,2006,53.852,78,3:08.769,+6.288,-,0:32.715,54,00:32.715000,1:18.887,51,00:46.172000,1:57.845,56,00:38.958000,2:36.685,51,00:38.840000,54,51,82,38,00:32.084000,28
50,,70,KERR Henry,AON RACING - TOURNE CAMPERVANS,10023914524,IRL,2000,52.941,93,3:09.542,+7.061,-,0:32.114,39,00:32.114000,1:19.269,57,00:47.155000,1:58.014,59,00:38.745000,2:37.312,56,00:39.298000,39,65,71,53,00:32.230000,33
51,,80,GRIFFITH Ryan *,PIVOT FACTORY RACING,10083250737,CAN,2006,55.641,29,3:09.560,+7.079,-,0:33.025,64,00:33.025000,1:19.468,61,00:46.443000,1:57.576,53,00:38.108000,2:36.561,50,00:38.985000,64,59,39,42,00:32.999000,62
52,,69,PIERRON Baptiste,N/A,10008586504,FRA,1993,53.933,77,3:09.627,+7.146,-,0:32.915,61,00:32.915000,1:18.978,53,00:46.063000,1:57.775,54,00:38.797000,2:36.932,53,00:39.157000,61,47,73,48,00:32.695000,52
53,,45,GRISEL Léo,N/A,10069990332,FRA,2002,53.137,92,3:09.765,+7.284,-,0:32.899,60,00:32.899000,1:19.212,55,00:46.313000,1:58.216,60,00:39.004000,2:37.430,58,00:39.214000,60,53,83,49,00:32.335000,41
54,,59,SLOAN Carter *,N/A,10113898895,AUS,2006,53.731,82,3:09.854,+7.373,-,0:32.879,59,00:32.879000,1:20.008,64,00:47.129000,1:58.333,63,00:38.325000,2:37.133,54,00:38.800000,59,64,47,37,00:32.721000,53
55,,40,CONNELLY Jackson *,THE ALLIANCE,10114106942,AUS,2004,54.753,54,3:09.867,+7.386,-,0:32.969,62,00:32.969000,1:19.431,60,00:46.462000,1:57.824,55,00:38.393000,2:37.141,55,00:39.317000,62,60,54,55,00:32.726000,54
57,,41,VIEIRA Roger,N/A,10009164258,BRA,1994,50.279,102,3:10.251,+7.770,-,0:32.422,47,00:32.422000,1:18.754,50,00:46.332000,1:57.994,58,00:39.240000,2:37.624,59,00:39.630000,47,55,89,58,00:32.627000,51
58,,76,MEEK Toby *,N/A,10064077170,NZL,2004,53.771,80,3:10.281,+7.800,-,0:32.301,45,00:32.301000,1:19.332,58,00:47.031000,1:58.222,61,00:38.890000,2:37.980,61,00:39.758000,45,63,79,60,00:32.301000,40
59,,98,OSTFELD Roee *,N/A,10117608541,ISR,2006,52.516,95,3:10.588,+8.107,-,0:33.122,66,00:33.122000,1:19.532,63,00:46.410000,1:58.329,62,00:38.797000,2:37.649,60,00:39.320000,66,58,73,56,00:32.939000,59
60,,58,WALLACE Mark,N/A,10008172636,CAN,1995,55.215,45,3:11.189,+8.708,-,0:33.502,74,00:33.502000,1:20.894,70,00:47.392000,1:59.231,70,00:38.337000,2:39.009,64,00:39.778000,73,70,48,61,00:32.180000,31
61,,103,VERNON Taylor,N/A,10008728667,GBR,1996,54.545,59,3:11.525,+9.044,-,0:33.428,71,00:33.428000,1:20.775,67,00:47.347000,1:58.561,64,00:37.786000,2:39.131,65,00:40.570000,71,68,27,72,00:32.394000,43
62,,48,MACDERMID James *,THE ALLIANCE,10022172766,NZL,2003,54.054,75,3:11.846,+9.365,-,0:32.456,49,00:32.456000,1:19.484,62,00:47.028000,1:58.806,66,00:39.322000,2:38.867,63,00:40.061000,49,62,90,64,00:32.979000,61
