rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
95,,122,COMERIO Marco *,N/A,10074469308,ITA,2002,52.555,107,4:17.335,+27.917,-,0:54.882,129,00:54.882000,2:04.042,116,01:09.160000,2:58.348,95,00:54.306000,3:38.082,93,00:39.734000,125,104,68,88,00:39.253000,104
96,,31,MEIER-SMITH Remy *,GIANT FACTORY OFF-ROAD TEAM - DH,10049212427,AUS,2004,54.983,42,4:17.482,+28.064,-,0:57.161,140,00:57.161000,2:01.105,100,01:03.944000,3:00.014,103,00:58.909000,3:39.154,97,00:39.140000,134,30,112,76,00:38.328000,92
97,,129,ENNIS Ross,N/A,10016689741,IRL,2001,52.728,101,4:17.846,+28.428,-,0:53.778,121,00:53.778000,2:03.017,113,01:09.239000,2:59.961,102,00:56.944000,3:40.115,102,00:40.154000,117,107,102,99,00:37.731000,70
98,,85,MEDCALF Evan *,EVOLVE RACING,10117081004,USA,2005,54.795,48,4:18.140,+28.722,-,0:58.824,143,00:58.824000,2:06.711,126,01:07.887000,3:00.294,104,00:53.583000,3:39.943,99,00:39.649000,137,90,57,85,00:38.197000,86
99,,128,DOWNEY Cooper,N/A,10050501719,AUS,2001,51.539,118,4:18.178,+28.760,-,0:52.921,109,00:52.921000,2:02.383,109,01:09.462000,2:58.517,96,00:56.134000,3:38.880,96,00:40.363000,105,109,97,102,00:39.298000,105
100,,182,PESENTI Marcello,THE GRAVITY CARTEL - ROGUE RACING,10012986462,ITA,1994,54.135,65,4:18.582,+29.164,-,0:52.433,99,00:52.433000,2:02.113,108,01:09.680000,2:58.572,98,00:56.459000,3:40.067,101,00:41.495000,96,112,99,109,00:38.515000,95
101,,103,ERLANGSEN Theo,N/A,10008867400,RSA,1995,54.899,43,4:18.923,+29.505,-,0:53.602,118,00:53.602000,2:03.548,115,01:09.946000,2:58.964,100,00:55.416000,3:39.424,98,00:40.460000,114,115,82,104,00:39.499000,106
102,,161,SHERRY Henry *,N/A,10079938791,CAN,2005,54.176,64,4:19.686,+30.268,-,0:54.094,125,00:54.094000,2:05.258,118,01:11.164000,3:00.768,107,00:55.510000,3:40.582,103,00:39.814000,121,117,86,91,00:39.104000,101
103,,150,STANTON Jed *,RAW FUSION RACING,10113898087,AUS,2005,53.611,84,4:20.187,+30.769,-,0:53.698,119,00:53.698000,2:02.659,111,01:08.961000,2:57.912,94,00:55.253000,3:40.005,100,00:42.093000,115,102,80,115,00:40.182000,117
104,,170,GENTLE Jobe *,TEAM HIGH COUNTRY,10114036416,AUS,2004,51.410,120,4:21.350,+31.932,-,0:53.107,113,00:53.107000,2:02.545,110,01:09.438000,3:02.681,110,01:00.136000,3:42.225,107,00:39.544000,109,108,120,84,00:39.125000,103
105,,125,DICKERSON Bryn,ZERODE RACING,10006949022,NZL,1991,52.767,100,4:21.785,+32.367,-,0:52.003,94,00:52.003000,2:01.587,103,01:09.584000,2:59.949,101,00:58.362000,3:42.002,105,00:42.053000,91,110,108,113,00:39.783000,111
106,,147,WEINERT Troy *,N/A,10104302969,AUS,2003,51.118,124,4:22.152,+32.734,-,0:53.837,124,00:53.837000,2:05.889,121,01:12.052000,3:03.898,114,00:58.009000,3:43.945,109,00:40.047000,120,124,107,97,00:38.207000,87
107,,145,STEINER Julian,N/A,10008123732,GER,1994,52.004,112,4:22.327,+32.909,-,0:52.700,104,00:52.700000,2:01.899,106,01:09.199000,2:58.732,99,00:56.833000,3:41.423,104,00:42.691000,100,105,101,120,00:40.904000,124
108,,189,ZENONI Tyler *,N/A,10113245965,USA,2004,50.104,129,4:22.381,+32.963,-,0:53.024,112,00:53.024000,2:01.671,105,01:08.647000,3:00.372,105,00:58.701000,3:42.074,106,00:41.702000,108,99,109,111,00:40.307000,120
109,,171,HYNES William *,FORBIDDEN SYNTHESIS TEAM,10114039345,AUS,2003,52.612,106,4:22.441,+33.023,-,0:53.446,116,00:53.446000,2:05.374,120,01:11.928000,3:02.873,111,00:57.499000,3:42.742,108,00:39.869000,112,122,104,92,00:39.699000,109
