rank,protected,rider_number,name,team,uci_id,country,birth_year,speed_trap,speed_trap_rank,final_time,gap,points,split_1,split_1_rank,sector_1,split_2,split_2_rank,sector_2,split_3,split_3_rank,sector_3,split_4,split_4_rank,sector_4,sector_1_rank,sector_2_rank,sector_3_rank,sector_4_rank,sector_5,sector_5_rank
37,,93,INTROZZI Stefano,N/A,10032121027,ITA,2000,56.177,22,3:06.494,+6.627,23,0:40.463,37,00:40.463000,1:30.887,42,00:50.424000,1:55.843,38,00:24.956000,2:41.520,37,00:45.677000,37,46,27,43,00:24.974000,29
38,P,1,BRUNI Loic,SPECIALIZED GRAVITY,10007544358,FRA,1994,57.409,9,3:06.806,+6.939,22,0:44.015,57,00:44.015000,1:33.136,52,00:49.121000,1:57.654,50,00:24.518000,2:41.972,46,00:44.318000,57,21,13,8,00:24.834000,23
146,CAPPELLO,CAPPELLO,Davide *,N/A,10032715353,ITA,2004,54.649,44,3:06.874,+7.007,21,0:40.420,35,00:40.420000,1:29.338,24,00:48.918000,1:54.085,21,00:24.747000,2:40.459,31,00:46.374000,35,13,20,53,00:26.415000,55
40,,96,GARCIN Johan *,N/A,10056657377,FRA,2002,57.105,11,3:06.917,+7.050,20,0:40.486,38,00:40.486000,1:31.108,45,00:50.622000,1:56.286,42,00:25.178000,2:41.945,45,00:45.659000,38,48,33,42,00:24.972000,28
41,P,8,BROSNAN Troy,CANYON CLLCTV FACTORY TEAM,10007307417,AUS,1993,57.754,6,3:06.942,+7.075,19,0:45.040,59,00:45.040000,1:33.951,55,00:48.911000,1:58.206,51,00:24.255000,2:41.680,42,00:43.474000,59,12,5,1,00:25.262000,41
42,,87,SILVA Dante *,CANYON CLLCTV PIRELLI,10071893653,USA,2002,53.798,53,3:07.029,+7.162,18,0:40.352,34,00:40.352000,1:30.165,35,00:49.813000,1:55.176,33,00:25.011000,2:41.137,36,00:45.961000,34,34,28,50,00:25.892000,50
43,,59,DICKSON Jacob,MS INTENSE RACING,10009453642,IRL,1997,54.580,46,3:07.043,+7.176,17,0:40.545,41,00:40.545000,1:30.765,41,00:50.220000,1:56.098,40,00:25.333000,2:41.799,43,00:45.701000,41,43,38,46,00:25.244000,38
44,,57,BLENKINSOP Samuel,ZERODE RACING,10004485929,NZL,1988,54.068,51,3:07.071,+7.204,16,0:41.088,53,00:41.088000,1:31.792,50,00:50.704000,1:57.380,48,00:25.588000,2:42.110,47,00:44.730000,53,51,49,17,00:24.961000,27
45,,26,WILSON Reece,TREK FACTORY RACING GRAVITY,10009563271,GBR,1996,53.865,52,3:07.559,+7.692,15,0:40.824,46,00:40.824000,1:31.276,46,00:50.452000,1:56.845,46,00:25.569000,2:42.379,48,00:45.534000,46,47,47,40,00:25.180000,36
46,,111,MEEK Toby *,MEEKBOYZ RACING,10064077170,NZL,2004,55.137,32,3:07.817,+7.950,14,0:40.860,50,00:40.860000,1:30.307,38,00:49.447000,1:55.761,37,00:25.454000,2:41.897,44,00:46.136000,50,27,44,51,00:25.920000,51
47,,84,MAURER Simon,N/A,10048586573,GER,2000,57.948,5,3:08.075,+8.208,13,0:40.775,44,00:40.775000,1:30.921,43,00:50.146000,1:56.409,43,00:25.488000,2:41.658,40,00:45.249000,44,42,45,33,00:26.417000,56
48,,86,PIERCY Jack *,COMMENCAL LES ORRES,10068688714,GBR,2004,55.385,29,3:08.469,+8.602,12,0:40.834,47,00:40.834000,1:31.497,48,00:50.663000,1:57.503,49,00:26.006000,2:43.245,51,00:45.742000,47,49,53,47,00:25.224000,37
49,,60,MACDONALD Brook,FORBIDDEN SYNTHESIS TEAM,10006429969,NZL,1991,54.545,47,3:08.724,+8.857,11,0:40.899,52,00:40.899000,1:31.000,44,00:50.101000,1:57.108,47,00:26.108000,2:42.800,49,00:45.692000,52,41,55,45,00:25.924000,52
50,,49,PINKERTON Ryan *,MONDRAKER FACTORY RACING,10063826182,USA,2005,56.992,14,3:08.788,+8.921,10,0:39.328,8,00:39.328000,1:28.807,13,00:49.479000,1:52.923,8,00:24.116000,2:38.164,13,00:45.241000,8,28,3,32,00:30.624000,59
51,,81,HOLGUIN VILLA Sebastian *,PURERIDING BP RACING,10035267059,COL,2004,54.962,36,3:09.249,+9.382,5,0:42.545,56,00:42.545000,1:34.096,56,00:51.551000,1:58.492,52,00:24.396000,2:44.138,53,00:45.646000,56,55,9,41,00:25.111000,34
52,,142,MOLLOY Harry,CONTINENTAL GT RACING,10006816454,GBR,1991,56.842,16,3:10.195,+10.328,5,0:40.841,48,00:40.841000,1:32.203,51,00:51.362000,1:58.512,53,00:26.309000,2:43.593,52,00:45.081000,48,54,57,30,00:26.602000,57
53,,183,ERGLANGSEN Theo,N/A,10008867400,RSA,1995,52.332,56,3:10.309,+10.442,5,0:40.029,25,00:40.029000,1:30.428,39,00:50.399000,1:56.610,44,00:26.182000,2:43.072,50,00:46.462000,25,45,56,54,00:27.237000,58
54,,44,ESTAQUE Thomas,COMMENCAL ICSTUDIO,10008848505,FRA,1996,56.287,20,3:10.610,+10.743,5,0:39.623,17,00:39.623000,1:33.823,53,00:54.200000,1:59.393,54,00:25.570000,2:45.144,54,00:45.751000,17,58,48,48,00:25.466000,47
55,,92,GRICE Christopher *,GEN-S,10073483443,USA,2003,54.927,38,3:15.187,+15.320,5,0:41.208,55,00:41.208000,1:38.217,59,00:57.009000,2:04.277,58,00:26.060000,2:50.155,55,00:45.878000,55,60,54,49,00:25.032000,31
56,,88,VIGE Gaëtan,PROPAIN POSITIVE,10009826989,FRA,1998,53.665,54,3:16.251,+16.384,5,0:44.967,58,00:44.967000,1:38.105,58,00:53.138000,2:03.494,57,00:25.389000,2:50.998,57,00:47.504000,58,56,39,57,00:25.253000,40
57,,97,LEHMANN Hannes,N/A,10051084830,GER,2001,50.029,58,3:16.919,+17.052,5,0:40.341,32,00:40.341000,1:36.072,57,00:55.731000,2:02.618,56,00:26.546000,2:50.626,56,00:48.008000,32,59,58,59,00:26.293000,54
58,P,17,WILLIAMSON Greg,MADISON SARACEN FACTORY TEAM,10006909111,GBR,1992,52.683,55,3:20.254,+20.387,5,0:39.686,20,00:39.686000,1:28.217,6,00:48.531000,2:07.054,59,00:38.837000,2:54.649,58,00:47.595000,20,5,60,58,00:25.605000,49
59,,20,WALKER Matt,MADISON SARACEN FACTORY TEAM,10011016756,GBR,1999,47.008,59,3:24.498,+24.631,5,0:54.951,60,00:54.951000,1:45.937,60,00:50.986000,2:11.899,60,00:25.962000,2:58.409,59,00:46.510000,60,53,52,56,00:26.089000,53
60,P,7,COULANGES Benoit,DORVAL AM COMMENCAL,10008194359,FRA,1994,35.136,60,3:48.887,+49.020,5,0:40.184,29,00:40.184000,1:33.877,54,00:53.693000,2:01.625,55,00:27.748000,3:06.288,60,01:04.663000,29,57,59,60,00:42.599000,60
